Study ID,Study Class,Treatment Focus (Study level),Total N Randomized,Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Adjusted Variables in Statistical Analysis,Intervention Groups,NCPTSD Treatment Names,Assessment Point Category,Follow Up Assessment in Weeks,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Score Difference 1 Detail,Score Difference 1 Value,Score Difference 1 Standard Deviation,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Score Difference 2 Detail,Score Difference 2 Value,Score Difference 2 Standard Deviation,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Diagnostic Change 1 Effect Size Detail,Diagnostic Change 1 Effect Size Type,Diagnostic Change 1 Effect Size Value,Diagnostic Change 1 Effect Size Type of Variance Measure,Diagnostic Change 1 Effect Size Variance Value or Lower Bound,Diagnostic Change 1 Effect Size Variance Upper Bound,Diagnostic Change 1 Effect Size p value,Clinically Meaningful Response 1 Effect Size Detail,Clinically Meaningful Response 1 Effect Size Type,Clinically Meaningful Response 1 Effect Size Value,Clinically Meaningful Response 1 Effect Size Type of Variance Measure,Clinically Meaningful Response 1 Effect Size Variance Value or Lower Bound,Clinically Meaningful Response 1 Effect Size Variance Upper Bound,Clinically Meaningful Response 1 Effect Size p value,Additional Data Reported,Military Status (Study level),Active Duty Military Percent (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
foa2017_PSS-I_AvsB_12_ITT,Psychotherapy,PTSD+SUD,142,Structured Clinical Interview,PSS-I,PSS-I,"Sex, age, education, minority ethnicity, cohabitation status, employment, baseline cotinine level, and number of treatment sessions attended. Also included interactions between these variables and treatment condition",A vs B,Prolonged Exposure (PE) + smoking cessation counseling + varenicline vs Smoking cessation counseling + varenicline,Assessment at 3 to <6 Months,12,ITT,Group x Time interaction,,,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.3944,,0.6056,Mixed,"Combat-related; Child sexual abuse; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Natural or manmade disasters; Other (imprisonment, torture, other)",Medium,"Foa EB, Asnaani A, Rosenfield D, et al. Concurrent varenicline and prolonged exposure for patients with nicotine dependence and PTSD: a randomized controlled trial. J Consult Clin Psychol. 2017 Sep;85(9):862-72. doi: 10.1037/ccp0000213. PMID: 28569519.",48569,2020
foa2018_PSS-I_AvsB_0_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),End of Treatment,0,ITT,post-hoc non-inferiority analysis,,,,,,p<0.05,,,,,,,,,,,,,,,,,,post-hoc non-inferiority analysis,,,,,,p<0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_AvsB_12_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 3 to <6 Months,12,ITT,endpoint difference,,,,,,p=0.54,non-inferiority analysis,,,,,,p=0.03,"endpoint difference, non-inferiority analysis with 1-sided 95% CI",0.55,,-1.23,2.32,non-inferiority analysis with 1-sided 95% CI (95% CI -infinity to 2.05),0.55,,,,non-inferiority analysis,,,,,,p=0.02,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_AvsB_2_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at <3 Months,2,ITT,endpoint difference,,,,,,p=0.39,non-inferiority analysis,,,,,,p=0.049,endpoint difference,0.79,,-1.01,2.6,non-inferiority analysis with 1-sided 95% CI (95% CI -infinity to 2.29),0.79,,,,non-inferiority analysis,,,,,,p=0.02,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_AvsB_26_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at 6 to <12 Months,26,ITT,post-hoc non-inferiority analysis,,,,,,p<0.05,,,,,,,,,,,,,,,,,,non-inferiority analysis,,,,,,p<0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_AvsD_2_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",A vs D,Prolonged Exposure (PE) vs Minimal attention,Assessment at <3 Months,2,ITT,treatment x time interaction,d,0.28,,,,p=0.02,endpoint difference,d,0.56,,,,p=0.002,,-3.7,,-6.68,-0.72,endpoint difference,-3.79,,-6.17,-1.41,,Cohen's d,0.32,,,,p=0.005,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_BvsC_0_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",B vs C,Prolonged Exposure (PE) vs Present Centered Therapy (PCT),End of Treatment,0,ITT,treatment x time interaction,,,,,,p=0.93,endpoint difference,,,,,,p>0.05,,0.1,,-2.48,2.27,,,,,,,,,,,,p>0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_BvsC_12_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",B vs C,Prolonged Exposure (PE) vs Present Centered Therapy (PCT),Assessment at 3 to <6 Months,12,ITT,endpoint difference,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,p>0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_BvsC_2_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",B vs C,Prolonged Exposure (PE) vs Present Centered Therapy (PCT),Assessment at <3 Months,2,ITT,endpoint difference,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,p>0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
foa2018_PSS-I_BvsC_26_ITT,Psychotherapy,PTSD,370,Structured Clinical Interview,PSS-I,PSS-I,"Baseline level of outcome, age, sex, and baseline mental and physical functioning",B vs C,Prolonged Exposure (PE) vs Present Centered Therapy (PCT),Assessment at 6 to <12 Months,26,ITT,endpoint difference,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,p>0.05,,,,,,,,,,,,,0.1202,,0.8798,Mixed,"combat-related, other (not specified)",Medium,"Foa EB, McLean CP, Zang Y, et al. Effect of prolonged exposure therapy delivered over 2 weeks vs 8 weeks vs present-centered therapy on PTSD symptom severity in military personnel: a randomized clinical trial. JAMA. 2018 Jan 23;319(4):354-64. doi: 10.1001/jama.2017.21242. PMID: 29362795.",49595,2020
fonzo2017_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,66,Structured Clinical Interview,CAPS,CAPS,Baseline brain activation,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,1.61,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
fonzo2017_PCL_AvsB_0_ITT,Psychotherapy,PTSD,66,Self report,PCL,PCL-C,,A vs B,Prolonged Exposure (PE) vs Waitlist,End of Treatment,0,ITT,,Cohen's d,2.09,,,,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6515,,0.3485,Mixed,"combat-related, illness/medical procedure, community/school violence, natural or manmade disasters, rape/sexual assault",Medium,"Fonzo GA, Goodkind MS, Oathes DJ, et al. PTSD psychotherapy outcome predicted by brain activation during emotional reactivity and regulation. Am J Psychiatry. 2017 Dec 1;174(12):1163-74. doi: 10.1176/appi.ajp.2017.16091072. PMID: 28715908.",48700,2019
forbes2012_CAPS_AvsB_0_Comp,Psychotherapy,PTSD,59,Structured Clinical Interview,CAPS,CAPS,,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.055,,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_CAPS_AvsB_0_ITT,Psychotherapy,PTSD,59,Structured Clinical Interview,CAPS,CAPS,,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,ITT,,Hedges' g,0.97,95% CI,0.43,1.51,p=0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.013,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_CAPS_AvsB_20_ITT,Psychotherapy,PTSD,59,Structured Clinical Interview,CAPS,CAPS,,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,ITT,(end of treatment to 5-month followup),Hedges' g,-0.1,95% CI,-0.61,0.41,p=0.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_PCL_AvsB_0_ITT,Psychotherapy,PTSD,59,Self report,PCL,PCL,,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,End of Treatment,0,ITT,,Hedges' g,0.94,95% CI,0.4,1.48,p=0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
forbes2012_PCL_AvsB_20_ITT,Psychotherapy,PTSD,59,Self report,PCL,PCL,,A vs B,Cognitive Processing Therapy (CPT) vs Psychotherapy as usual,Assessment at 3 to <6 Months,20,ITT,end of treatment to 5-month followup,Hedges' g,-0.01,95% CI,-0.53,0.5,p=0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.0339,,0.9661,"Combat-related (described as ""military-related"")",,Medium,"Forbes D, Lloyd D, Nixon RDV, et al. A multisite randomized controlled effectiveness trial of cognitive processing therapy for military-related posttraumatic stress disorder. J Anxiety Disord. 2012 Apr;26(3):442-52. doi: 10.1016/j.janxdis.2012.01.006. PMID: 22366446..",38353,2019
ford2018_CAPS_AvsB_0_Comp,Psychotherapy,PTSD,31,Structured Clinical Interview,CAPS,CAPS,,A vs B,Trauma Affect Regulation: Guide for Education and Therapy vs Prolonged Exposure (PE),End of Treatment,0,Completer,,,,,,,p=0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.02,,Mixed,,,0,0,,1,Combat-related,,High,"Ford JD, Grasso DJ, Greene CA, et al. Randomized clinical trial pilot study of prolonged exposure versus present centred affect regulation therapy for PTSD and anger problems with male military combat veterans. Clin Psychol Psychother. 2018 Sep;25(5):641-9. doi: 10.1002/cpp.2194. PMID: 29687524.",50258,2019
ford2018_CAPS_AvsB_16_Comp,Psychotherapy,PTSD,31,Structured Clinical Interview,CAPS,CAPS,,A vs B,Trauma Affect Regulation: Guide for Education and Therapy vs Prolonged Exposure (PE),Assessment at 3 to <6 Months,16,Completer,,,,,,,p=0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.93,,Mixed,,,0,0,,1,Combat-related,,High,"Ford JD, Grasso DJ, Greene CA, et al. Randomized clinical trial pilot study of prolonged exposure versus present centred affect regulation therapy for PTSD and anger problems with male military combat veterans. Clin Psychol Psychother. 2018 Sep;25(5):641-9. doi: 10.1002/cpp.2194. PMID: 29687524.",50258,2019
geronilla2016_PCL_AvsB_0_ITT,Psychotherapy,PTSD,58,Self report,PCL,PCL-M,,A vs B,Emotional Freedom Technique (EFT) vs Waitlist,End of Treatment,0,ITT,Treatment x Time interaction; with Bonferroni correction,,,,,,p<0.0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.1207,,0.8793,,,High,"Geronilla L, Minewiser L, Mollon P, et al. EFT (Emotional Freedom Techniques) remediates PTSD and psychological symptoms in veterans: A randomized controlled replication trial. Energy Psychology. 2016;8(2):29.",1549292,2019
fortney2015_PDS_AvsB_26_ITT,Collaborative care,PTSD,265,Self report,PDS,PDS,With and without controlling for case mix,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at 6 to <12 Months,26,ITT,Unadjusted,Cohen's d,0.45,,,,p<0.001,Adjusted,beta,-3.81,95% CI,-6.19,-1.43,p=0.002,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
fortney2015_PDS_AvsB_52_ITT,Collaborative care,PTSD,265,Self report,PDS,PDS,With and without controlling for case mix,A vs B,Telemedicine Outreach for PTSD (TOP) vs Treatment as usual (TAU),Assessment at ≥12 Months,52,ITT,Unadjusted,Cohen's d,0.31,,,,p=0.02,Adjusted,beta,-2.49,95% CI,-4.9,-0.08,p=0.04,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,,1,,0.102,,0.898,Combat-related,,Medium,"Fortney JC, Pyne JM, Kimbrell TA, et al. Telemedicine-based collaborative care for posttraumatic stress disorder: a randomized clinical trial. JAMA Psychiatry. 2015 Jan;72(1):58-67. doi: 10.1001/jamapsychiatry.2014.1575. PMID: 25409287.",43084,2019
franklin2017_CAPS_AvsB_4_ITT,Psychotherapy,PTSD,27,Structured Clinical Interview,CAPS,CAPS,None,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at <3 Months,4,ITT,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
franklin2017_CAPS_AvsBvsC_4_ITT,Psychotherapy,PTSD,27,Structured Clinical Interview,CAPS,CAPS,None,A vs B vs C,Prolonged Exposure (PE) vs Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,"Time x Treatment interaction; A, B conditions had significantly greater improvement than condition C",,,,,,p=0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
franklin2017_CAPS_AvsC_4_ITT,Psychotherapy,PTSD,27,Structured Clinical Interview,CAPS,CAPS,None,A vs C,Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,,,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
franklin2017_CAPS_BvsC_4_ITT,Psychotherapy,PTSD,27,Structured Clinical Interview,CAPS,CAPS,None,B vs C,Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,,,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",50424,2019
franklin2017_PDS_AvsB_4_ITT,Psychotherapy,PTSD,27,Self report,PDS,PDS,,A vs B,Prolonged Exposure (PE) vs Prolonged Exposure (PE),Assessment at <3 Months,4,ITT,,,,,,,p>0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",,2019
franklin2017_PDS_AvsC_4_ITT,Psychotherapy,PTSD,27,Self report,PDS,PDS,,A vs C,Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,,,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",,2019
franklin2017_PDS_BvsC_4_ITT,Psychotherapy,PTSD,27,Self report,PDS,PDS,,B vs C,Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,,,,,,,p<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",,2019
franklin2017_PDS_Omnibus_4_ITT,Psychotherapy,PTSD,27,Self report,PDS,PDS,,Omnibus,Prolonged Exposure (PE) vs Prolonged Exposure (PE) vs Treatment as usual (TAU),Assessment at <3 Months,4,ITT,"Treatment x Time interaction; A, B groups outperformed C",,,,,,p=0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.074,,0.926,,,High,"Franklin CL, Cuccurullo LA, Walton JL, et al. Face to face but not in the same place: a pilot study of prolonged exposure therapy. J Trauma Dissociation. 2017 Jan-Feb;18(1):116-30. doi: 10.1080/15299732.2016.1205704. PMID: 27348462.",,2019
friedman2007_CAPS_AvsB_0_ITT,Pharmacotherapy,PTSD,169,Structured Clinical Interview,CAPS,CAPS,"Baseline score, site, trauma type",A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p=0.27,Additional data reported in the study for other definitions of clinically meaningful response,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
friedman2007_DTS_AvsB_0_ITT,Pharmacotherapy,PTSD,169,Self report,DTS,DTS,,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p≥0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
friedman2007_IES_AvsB_0_ITT,Pharmacotherapy,PTSD,169,Self report,IES,IES,,A vs B,Sertraline vs Placebo,End of Treatment,0,ITT,,,,,,,p=0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0.2282,,0.7718,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (injury, fire, seeing someone hurt or die, ""miscellaneous"")",Medium,"Friedman MJ, Marmar CR, Baker DG, et al. Randomized, double-blind comparison of sertraline and placebo for posttraumatic stress disorder in a Department of Veterans Affairs setting. J Clin Psychiatry. 2007 May;68(5):711-20. PMID: 17503980.",29522,2019
frommberger2004_CAPS_AvsB_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,21,Structured Clinical Interview,CAPS,CAPS,,A vs B,Paroxetine vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,Group x Time interaction,,,,,,p>0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5714,,0.4286,Mixed,"rape/sexual assault, accidents, community/school violence",High,"Frommberger UH, Stieglitz R-D, Nyberg E, et al. Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): a pilot study. Int. J. Psychiatry Clin. Pract. 2004;8(1):19-24. doi: 10.1080/13651500310004803. PMID: 24937579.",27144,2019
frommberger2004_PSS_AvsB_0_Comp,Mixed: Psychotherapy & pharmacotherapy,PTSD,21,Self report,PSS,PSS,,A vs B,Paroxetine vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,Group x Time interaction,,,,,,p≤0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community,,,1,0.5714,,0.4286,Mixed,"rape/sexual assault, accidents, community/school violence",High,"Frommberger UH, Stieglitz R-D, Nyberg E, et al. Comparison between paroxetine and behaviour therapy in patients with posttraumatic stress disorder (PTSD): a pilot study. Int. J. Psychiatry Clin. Pract. 2004;8(1):19-24. doi: 10.1080/13651500310004803. PMID: 24937579.",27144,2019
frueh2007_PCL_AvsB_0_Comp,Psychotherapy,PTSD,38,Self report,PCL,PCL-M,,A vs B,Cognitive behavioral therapy (CBT) without a trauma focus vs Cognitive behavioral therapy (CBT) without a trauma focus,End of Treatment,0,Completer,,,,,,,p=0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veteran,0,1,0,0,,1,Combat-related,,High,"Frueh BC, Monnier J, Yim E, et al. A randomized trial of telepsychiatry for post-traumatic stress disorder. J. Telemed. Telecare. 2007 Apr 1;13(3):142-7. doi: 10.1258/135763307780677604. PMID: 17519056.",29644,2019
